NOC,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Predicted_Gold,Predicted_Total,Gold_Lower,Gold_Upper,Total_Lower,Total_Upper
United States,44.333333333333336,112.66666666666667,133.0,338.0,43,113,34,52,88,138
China,34.333333333333336,83.66666666666667,103.0,251.0,33,86,24,42,61,111
Great Britain,26.0,65.33333333333333,78.0,196.0,26,67,17,35,42,92
Japan,15.333333333333334,45.666666666666664,46.0,137.0,16,44,7,25,19,69
Germany,12.666666666666666,41.0,38.0,123.0,13,39,4,22,14,64
Australia,11.0,36.666666666666664,33.0,110.0,12,35,3,21,10,60
France,10.333333333333334,36.666666666666664,31.0,110.0,11,34,2,20,9,59
Italy,8.666666666666666,32.0,26.0,96.0,9,30,0,18,5,55
South Korea,9.333333333333334,24.0,28.0,72.0,10,26,1,19,1,51
Netherlands,8.0,25.0,24.0,75.0,9,25,0,18,0,50
Hungary,7.333333333333333,17.666666666666668,22.0,53.0,8,20,0,17,0,45
Brazil,5.666666666666667,19.0,17.0,57.0,6,19,0,15,0,44
Canada,4.333333333333333,21.333333333333332,13.0,64.0,5,19,0,14,0,44
New Zealand,5.666666666666667,17.0,17.0,51.0,6,18,0,15,0,43
Spain,4.666666666666667,18.0,14.0,54.0,5,18,0,14,0,43
Cuba,5.666666666666667,13.666666666666666,17.0,41.0,6,16,0,15,0,41
Ukraine,2.6666666666666665,16.333333333333332,8.0,49.0,4,15,0,13,0,40
Jamaica,4.666666666666667,11.0,14.0,33.0,5,14,0,14,0,39
Kenya,4.0,12.0,12.0,36.0,5,14,0,14,0,39
Poland,3.0,12.0,9.0,36.0,4,13,0,13,0,38
Iran,4.333333333333333,9.333333333333334,13.0,28.0,5,13,0,14,0,38
Denmark,2.3333333333333335,11.666666666666666,7.0,35.0,3,12,0,12,0,37
Czech Republic,3.0,10.666666666666666,9.0,32.0,4,12,0,13,0,37
Kazakhstan,1.6666666666666667,12.0,5.0,36.0,3,11,0,12,0,36
Croatia,3.6666666666666665,8.0,11.0,24.0,4,11,0,13,0,36
Sweden,2.0,9.333333333333334,6.0,28.0,3,10,0,12,0,35
Switzerland,2.6666666666666665,8.0,8.0,24.0,3,10,0,12,0,35
Azerbaijan,1.0,11.333333333333334,3.0,34.0,2,10,0,11,0,35
Serbia,2.0,7.0,6.0,21.0,3,9,0,12,0,34
South Africa,2.3333333333333335,6.333333333333333,7.0,19.0,3,9,0,12,0,34
Uzbekistan,2.3333333333333335,7.0,7.0,21.0,3,9,0,12,0,34
Turkey,1.3333333333333333,8.0,4.0,24.0,2,9,0,11,0,34
North Korea,2.6666666666666665,6.333333333333333,8.0,19.0,3,9,0,12,0,34
Colombia,1.3333333333333333,7.333333333333333,4.0,22.0,2,8,0,11,0,33
Ethiopia,1.6666666666666667,6.666666666666667,5.0,20.0,2,8,0,11,0,33
Norway,2.0,5.333333333333333,6.0,16.0,3,8,0,12,0,33
Georgia,1.6666666666666667,7.0,5.0,21.0,2,8,0,11,0,33
Belgium,1.6666666666666667,5.333333333333333,5.0,16.0,2,8,0,11,0,33
Greece,1.6666666666666667,4.0,5.0,12.0,2,7,0,11,0,32
Romania,1.3333333333333333,5.0,4.0,15.0,2,7,0,11,0,32
Chinese Taipei,1.3333333333333333,5.666666666666667,4.0,17.0,2,7,0,11,0,32
Slovenia,1.6666666666666667,4.333333333333333,5.0,13.0,2,7,0,11,0,32
Bulgaria,1.0,4.0,3.0,12.0,2,6,0,11,0,31
Slovakia,1.0,4.0,3.0,12.0,2,6,0,11,0,31
Mexico,0.3333333333333333,5.666666666666667,1.0,17.0,1,6,0,10,0,31
Thailand,1.0,4.0,3.0,12.0,2,6,0,11,0,31
India,0.3333333333333333,5.0,1.0,15.0,1,6,0,10,0,31
Argentina,1.3333333333333333,3.6666666666666665,4.0,11.0,2,6,0,11,0,31
Ireland,1.0,4.0,3.0,12.0,2,6,0,11,0,31
Kosovo,1.5,1.5,3.0,3.0,2,6,0,11,0,31
Israel,0.6666666666666666,2.3333333333333335,2.0,7.0,1,5,0,10,0,30
Lithuania,0.6666666666666666,3.3333333333333335,2.0,10.0,1,5,0,10,0,30
Dominican Republic,0.3333333333333333,2.6666666666666665,1.0,8.0,1,5,0,10,0,30
Uganda,1.0,2.0,3.0,6.0,2,5,0,11,0,30
Mongolia,0.0,3.6666666666666665,0.0,11.0,1,5,0,10,0,30
Tunisia,1.0,2.6666666666666665,3.0,8.0,2,5,0,11,0,30
Hong Kong,0.3333333333333333,2.6666666666666665,1.0,8.0,1,5,0,10,0,30
Egypt,0.3333333333333333,4.333333333333333,1.0,13.0,1,5,0,10,0,30
Ecuador,1.0,1.6666666666666667,3.0,5.0,2,5,0,11,0,30
Austria,0.3333333333333333,3.6666666666666665,1.0,11.0,1,5,0,10,0,30
Armenia,0.3333333333333333,3.3333333333333335,1.0,10.0,1,5,0,10,0,30
Fiji,1.0,1.5,2.0,3.0,2,5,0,11,0,30
Qatar,0.6666666666666666,2.0,2.0,6.0,1,5,0,10,0,30
Indonesia,0.6666666666666666,3.6666666666666665,2.0,11.0,1,5,0,10,0,30
Pakistan,0.3333333333333333,1.0,1.0,3.0,1,4,0,10,0,29
Puerto Rico,0.6666666666666666,1.3333333333333333,2.0,4.0,1,4,0,10,0,29
Panama,0.5,1.5,1.0,3.0,1,4,0,10,0,29
Morocco,0.3333333333333333,1.0,1.0,3.0,1,4,0,10,0,29
Ivory Coast,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,0,10,0,29
Malaysia,0.0,3.0,0.0,9.0,1,4,0,10,0,29
Kyrgyzstan,0.0,2.3333333333333335,0.0,7.0,1,4,0,10,0,29
Portugal,0.3333333333333333,2.0,1.0,6.0,1,4,0,10,0,29
Singapore,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,0,10,0,29
Bahrain,0.6666666666666666,1.3333333333333333,2.0,4.0,1,4,0,10,0,29
Philippines,0.3333333333333333,2.0,1.0,6.0,1,4,0,10,0,29
Tajikistan,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,0,10,0,29
Chile,0.6666666666666666,1.6666666666666667,2.0,5.0,1,4,0,10,0,29
Jordan,0.5,1.5,1.0,3.0,1,4,0,10,0,29
Grenada,0.3333333333333333,1.0,1.0,3.0,1,4,0,10,0,29
Algeria,0.3333333333333333,1.6666666666666667,1.0,5.0,1,4,0,10,0,29
San Marino,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Independent Olympic Participants,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Montenegro,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Independent Olympic Athletes,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Virgin Islands,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Suriname,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Refugee Olympic Team,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Senegal,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Netherlands Antilles,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Dominica,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Cabo Verde,0.0,0.0,0.0,0.0,1,3,0,10,0,28
ROC,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Albania,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Turkmenistan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Djibouti,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Guatemala,0.0,1.0,0.0,1.0,1,3,0,10,0,28
Costa Rica,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Zambia,0.0,1.0,0.0,2.0,1,3,0,10,0,28
Burkina Faso,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Syria,0.0,0.0,0.0,0.0,1,3,0,10,0,28
North Macedonia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Barbados,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Namibia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Gabon,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Moldova,0.0,1.3333333333333333,0.0,4.0,1,3,0,10,0,28
Macedonia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Saudi Arabia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Vietnam,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Tonga,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Eritrea,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Paraguay,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Serbia and Montenegro,0.0,0.0,0.0,0.0,1,3,0,10,0,28
United Arab Emirates,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Russia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Mozambique,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Afghanistan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Kuwait,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Mauritius,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Samoa,0.0,0.0,0.0,0.0,1,3,0,10,0,28
FR Yugoslavia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Sudan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Burundi,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Belarus,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Togo,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Unified Team,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Botswana,0.0,1.0,0.0,2.0,1,3,0,10,0,28
Cyprus,0.0,1.0,0.0,1.0,1,3,0,10,0,28
Sri Lanka,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Soviet UnionÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Zimbabwe,0.0,0.0,0.0,0.0,1,3,0,10,0,28
UruguayÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
GermanyÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Great BritainÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
HungaryÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
IndiaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
IrelandÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
ItalyÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
JapanÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
LatviaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
MexicoÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
NetherlandsÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
New ZealandÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
PhilippinesÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
PolandÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
South AfricaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
SpainÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
SwedenÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
SwitzerlandÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
FranceÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
FinlandÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
DenmarkÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Estonia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Mixed team,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Bohemia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Luxembourg,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Australasia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Finland,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Russian Empire,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Czechoslovakia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Haiti,0.0,0.0,0.0,0.0,1,3,0,10,0,28
CzechoslovakiaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Uruguay,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Yugoslavia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
ArgentinaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
AustraliaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
AustriaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
BelgiumÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
CanadaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
United StatesÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Latvia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Tanzania,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Ceylon,0.0,0.0,0.0,0.0,1,3,0,10,0,28
PakistanÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
PortugalÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
RomaniaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
SingaporeÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
TurkeyÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
United Team of GermanyÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
VenezuelaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
YugoslaviaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Ghana,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Nigeria,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Cameroon,0.0,0.0,0.0,0.0,1,3,0,10,0,28
East Germany,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Taiwan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
West Germany,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Niger,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Bermuda,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Guyana,0.0,0.0,0.0,0.0,1,3,0,10,0,28
NorwayÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
MoroccoÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
IraqÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
United Team of Germany,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Peru,0.0,1.0,0.0,3.0,1,3,0,10,0,28
Trinidad and Tobago,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Lebanon,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Soviet Union,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Venezuela,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Bahamas,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Iceland,0.0,0.0,0.0,0.0,1,3,0,10,0,28
BrazilÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
IranÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
British West IndiesÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
BulgariaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
EgyptÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
EthiopiaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
FormosaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
GhanaÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
GreeceÂ ,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Saint Lucia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
